,0,1,2
125,2156,6,1
126,769,11,1
127,98,21,0
128,714,147,0
129,1743,85,0
130,543,60,0
131,1249,63,0
132,34,172,0
133,922,50,0
134,1823,133,0
135,760,187,0
136,281,105,0
137,729,111,0
138,333,64,0
139,28,15,1
140,1497,148,0
141,54,6,1
142,2035,15,1
143,1248,19,0
144,358,32,0
145,1948,6,1
146,2146,89,1
147,779,15,1
148,976,3,1
149,466,5,0
150,1630,213,0
151,298,29,1
152,989,3,1
153,911,100,0
154,1547,92,0
155,2227,33,1
156,1619,71,0
157,1037,140,0
158,955,3,1
159,362,34,1
160,575,29,1
161,1127,161,0
162,16,26,1
163,1370,118,0
164,311,200,0
165,720,161,0
166,328,36,1
167,1825,3,1
168,579,8,1
169,362,49,0
170,1185,3,1
171,715,84,1
172,1383,3,1
173,289,11,1
174,27,42,1
175,2159,200,0
176,496,175,1
177,1072,14,0
178,1041,195,0
179,227,14,1
180,1978,171,0
181,245,59,0
182,378,34,1
183,144,68,1
184,297,15,1
185,833,41,0
186,1436,3,1
187,1433,193,0
188,1425,195,0
189,99,193,0
190,1672,61,1
191,1801,87,0
192,1037,3,1
193,790,8,0
194,40,63,0
195,367,5,1
196,37,3,1
197,309,34,1
198,1093,104,0
199,1847,6,1
200,553,173,0
201,269,78,0
202,1676,137,0
203,26,11,1
204,441,38,1
205,1143,107,0
206,3,6,1
207,517,18,0
208,1663,43,0
209,504,6,1
210,675,117,0
211,1851,87,0
212,739,194,1
213,484,6,1
214,1326,3,1
215,431,6,1
216,652,7,0
217,152,38,1
218,552,16,1
219,1180,3,1
220,773,15,1
221,662,15,1
222,1949,86,0
223,1299,189,0
224,2127,143,0
225,1430,3,1
226,1872,6,1
227,234,174,0
228,1520,96,0
229,956,5,1
230,424,204,0
231,1070,3,1
232,1523,215,0
233,1856,212,0
234,678,6,1
235,1854,6,1
236,530,97,1
237,84,207,0
238,770,11,1
239,328,16,1
240,1983,14,1
241,652,207,0
242,1982,34,1
243,404,141,0
244,2055,99,0
245,1981,15,1
246,544,89,1
247,25,33,1
248,1588,213,0
249,4,51,0
250,2043,158,0
251,2208,12,0
252,336,3,1
253,329,34,1
254,909,121,0
255,751,191,0
256,751,206,0
257,1274,8,0
258,1958,90,0
259,93,11,1
260,1658,80,0
261,638,29,1
262,442,197,0
263,104,2,1
264,1136,135,0
265,617,57,1
266,1612,6,1
267,1513,59,0
268,446,130,1
269,140,8,1
270,11,42,0
271,655,34,0
272,2203,19,0
273,1694,130,0
274,373,149,0
275,101,186,0
276,829,105,0
277,536,7,1
278,2094,99,0
279,120,8,1
280,1917,198,0
281,1139,8,0
282,56,191,0
283,1983,15,1
284,276,52,1
285,88,186,0
286,864,75,0
287,93,13,1
288,946,5,1
289,977,106,0
290,93,15,1
291,516,213,0
292,1794,77,0
293,112,161,0
294,1482,185,1
295,2147,15,1
296,30,43,1
297,764,204,0
298,1992,6,1
299,2259,76,0
300,751,195,1
301,430,11,1
302,542,93,1
303,1057,140,0
304,1803,164,0
305,526,165,0
306,2082,63,0
307,940,84,0
308,980,195,0
309,1943,215,0
310,1635,118,0
311,47,31,1
312,1669,31,0
313,1468,150,0
314,1455,6,1
315,536,41,1
316,1996,143,0
317,2178,164,0
318,667,20,1
319,2011,44,0
320,8,6,1
321,713,182,0
322,2140,6,1
323,67,103,1
324,37,5,1
325,396,100,0
326,2139,14,1
327,92,22,1
328,442,15,1
329,914,15,1
330,2125,77,0
331,866,133,0
332,40,69,1
333,405,23,0
334,317,85,0
335,44,76,0
336,1150,3,1
337,453,7,0
338,276,145,1
339,886,1,0
340,1518,3,1
341,2113,109,0
342,2237,152,0
343,21,6,1
344,1192,188,0
345,760,92,0
346,1299,147,0
347,1449,214,0
348,65,110,0
349,1293,207,0
350,1288,3,1
351,2185,39,0
352,1009,3,1
353,284,32,0
354,1928,126,0
355,52,1,1
356,295,100,0
357,754,193,0
358,127,133,1
359,459,178,0
360,376,5,0
361,1471,185,1
362,119,6,1
363,826,182,0
364,106,33,1
365,738,3,1
366,1679,162,0
367,1234,12,0
368,643,15,0
369,1557,115,0
370,66,0,1
371,1349,165,0
372,1180,104,0
373,1405,6,0
374,100,33,1
375,298,105,0
376,97,16,1
377,719,82,1
378,1436,112,0
379,834,211,0
380,987,3,1
381,1368,174,0
382,311,70,0
383,1926,82,0
384,697,6,1
385,1173,9,0
386,522,50,0
387,67,31,1
388,77,0,1
389,2003,120,0
390,189,76,0
391,1468,209,0
392,2008,37,0
393,1204,3,1
394,1005,11,0
395,2074,34,1
396,65,9,0
397,43,5,1
398,515,26,1
399,599,90,1
400,232,8,1
401,920,209,1
402,771,173,0
403,2038,32,0
404,75,168,0
405,2204,78,0
406,379,35,1
407,274,14,1
408,1123,151,0
409,997,31,0
410,1445,80,0
411,305,5,1
412,1144,3,1
413,2114,14,1
414,34,55,1
415,1231,25,0
416,1557,3,1
417,1356,3,1
418,75,9,1
419,1069,139,0
420,615,41,0
421,2255,6,1
422,766,6,1
423,1250,185,0
424,1416,3,1
425,1511,116,0
426,1756,5,1
427,40,6,1
428,954,11,0
429,614,158,0
430,271,177,0
431,1244,32,0
432,1612,184,0
433,1967,0,0
434,412,158,1
435,2057,14,1
436,1900,6,1
437,636,194,0
438,691,115,0
439,283,80,1
440,1565,119,0
441,602,15,1
442,1378,3,1
443,408,15,1
444,149,117,0
445,1986,5,1
446,611,54,0
447,141,203,0
448,2058,103,0
449,1234,3,1
450,593,5,1
451,1658,28,0
452,1590,93,1
453,808,61,0
454,345,185,0
455,389,3,1
456,1175,138,0
457,104,7,1
458,1676,135,0
459,256,9,0
460,54,5,1
461,343,15,0
462,1604,6,1
463,1518,196,0
464,365,6,1
465,441,16,1
466,55,15,1
467,717,159,0
468,879,20,1
469,1254,100,0
470,361,120,0
471,856,140,0
472,59,160,0
473,209,53,0
474,937,3,1
475,1390,3,1
476,572,14,1
477,659,147,1
478,694,24,0
479,766,48,1
480,1238,33,0
481,104,0,1
482,1268,83,0
483,99,5,1
484,493,6,1
485,629,169,0
486,63,40,1
487,2105,15,1
488,1889,6,1
489,412,36,1
490,887,196,0
491,914,94,1
492,2016,164,0
493,741,80,0
494,50,202,0
495,1560,118,0
496,793,20,1
497,1828,80,0
498,747,93,0
499,2098,187,0
500,53,15,1
501,1558,176,0
502,403,99,0
503,149,6,1
504,160,6,1
505,1359,3,1
506,744,42,1
507,1220,23,0
508,100,0,1
509,916,212,0
510,321,197,0
511,510,113,0
512,179,15,1
513,90,120,1
514,263,11,1
515,1413,15,0
516,605,16,0
517,2042,15,1
518,78,6,1
519,1898,148,0
520,1465,99,0
521,122,19,1
522,1174,83,0
523,527,40,1
524,1378,21,0
525,264,3,0
526,915,35,1
527,1289,43,0
528,224,49,0
529,363,47,0
530,1091,3,1
531,1771,78,0
532,1983,35,0
533,92,40,1
534,246,29,1
535,1485,84,0
536,92,33,1
537,1338,177,0
538,2239,95,0
539,1397,196,0
540,1284,146,0
541,219,151,1
542,1033,3,1
543,1381,143,0
544,407,97,0
545,1438,3,1
546,137,35,1
547,1052,103,0
548,2251,102,0
549,30,167,0
550,1005,96,0
551,584,6,1
552,141,98,1
553,612,144,0
554,2244,73,0
555,226,213,0
556,438,14,1
557,1921,214,0
558,689,79,0
559,470,50,1
560,951,3,1
561,449,69,0
562,1343,96,0
563,1857,180,0
564,1580,77,0
565,1664,5,1
566,2130,126,0
567,1773,5,1
568,1698,170,0
569,1485,135,0
570,613,11,0
571,346,90,0
572,1419,124,0
573,1653,173,0
574,1910,143,0
575,1704,57,0
576,1327,3,1
577,1409,38,0
578,810,179,0
579,1713,184,0
580,1777,193,0
581,1749,3,1
582,177,4,0
583,769,8,1
584,108,8,1
585,1541,163,0
586,281,20,1
587,1267,3,1
588,574,31,1
589,1503,3,1
590,245,11,1
591,1144,149,0
592,979,89,0
593,416,5,1
594,100,2,1
595,1627,40,0
596,256,72,0
597,595,30,0
598,349,15,1
599,2254,96,0
600,727,17,0
601,103,46,0
602,1194,102,0
603,47,144,0
604,1784,3,1
605,1138,182,0
606,1128,186,0
607,607,11,0
608,264,6,1
609,868,211,0
610,63,9,1
611,563,1,1
612,1304,3,1
613,768,1,1
614,1860,25,0
615,992,3,1
616,668,6,1
617,1882,185,0
618,640,6,1
619,2149,34,1
620,1125,79,0
621,891,0,1
622,1796,14,1
623,70,111,0
624,2110,15,1
625,897,117,0
626,768,14,1
627,1328,3,1
628,1903,163,0
629,891,26,1
630,219,66,1
631,404,6,1
632,100,9,1
633,1023,193,0
634,431,81,0
635,173,6,1
636,802,168,0
637,2241,156,0
638,1961,6,1
639,599,187,1
640,1276,94,0
641,1994,27,0
642,1675,70,1
643,812,214,0
644,2144,5,1
645,797,0,1
646,140,50,1
647,1648,6,1
648,1420,171,0
649,1348,172,0
650,1040,55,0
651,1380,201,0
652,1568,3,1
653,210,5,1
654,1303,87,0
655,139,32,1
656,221,30,1
657,5,13,1
658,525,65,0
659,127,8,1
660,1073,3,1
661,1865,146,0
662,106,35,1
663,1757,191,0
664,1974,15,1
665,1310,3,1
666,1392,209,0
667,294,6,1
668,173,184,0
669,337,5,1
670,1895,123,0
671,399,168,1
672,497,7,1
673,1809,213,1
674,2030,54,0
675,249,8,0
676,1453,162,0
677,451,101,1
678,1061,196,0
679,47,190,0
680,40,71,1
681,2118,149,0
682,1671,6,1
683,2153,14,1
684,1684,5,1
685,1260,3,1
686,430,35,1
687,2234,6,1
688,269,141,1
689,1150,5,1
690,600,188,1
691,785,181,0
692,1883,212,0
693,16,23,1
694,1294,58,0
695,871,48,0
696,58,17,1
697,73,5,1
698,1582,3,1
699,1877,59,0
700,606,88,0
701,274,145,0
702,1718,34,1
703,63,13,1
704,135,126,1
705,2260,139,0
706,556,75,0
707,804,3,0
708,1260,144,0
709,795,20,1
710,1905,77,0
711,1342,3,1
712,384,8,1
713,484,5,1
714,40,65,1
715,370,63,0
716,1977,33,1
717,507,58,1
718,766,7,1
719,420,190,0
720,61,35,1
721,1178,3,1
722,999,53,0
723,356,15,1
724,2,110,0
725,810,78,0
726,1771,3,1
727,400,15,1
728,969,131,0
729,332,183,0
730,2079,126,0
731,993,3,1
732,2184,97,0
733,1980,15,1
734,1532,3,1
735,365,89,1
736,448,41,1
737,441,5,1
738,723,57,0
739,411,156,0
740,1500,203,0
741,240,53,0
742,1813,73,0
743,1594,52,0
744,1412,95,0
745,1966,15,1
746,914,14,1
747,1524,29,0
748,104,6,1
749,308,6,1
750,1805,6,1
751,1995,6,1
752,1402,167,0
753,811,53,0
754,2141,89,1
755,70,8,1
756,2088,144,0
757,1791,5,1
758,418,4,1
759,1465,3,1
760,2031,94,0
761,1566,156,0
762,1767,3,1
763,698,5,1
764,1049,72,0
765,515,20,1
766,356,112,0
767,245,52,0
768,95,5,1
769,15,141,0
770,972,56,0
771,173,15,1
772,1609,156,0
773,143,5,1
774,805,202,1
775,305,7,1
776,398,8,1
777,1661,5,1
778,26,39,1
779,98,16,1
780,1997,14,1
781,2017,185,0
782,572,41,1
783,515,114,0
784,837,97,1
785,1198,3,1
786,52,153,0
787,98,5,1
788,1969,161,0
789,824,10,0
790,577,151,0
791,295,35,1
792,401,51,0
793,572,1,1
794,641,21,0
795,735,95,0
796,281,81,0
797,1209,3,1
798,1530,96,0
799,1672,70,1
800,477,34,0
801,2088,34,1
802,162,20,0
803,365,24,1
804,2260,124,0
805,135,15,1
806,664,168,1
807,1371,185,0
808,398,6,1
809,499,101,0
810,1371,3,1
811,40,26,1
812,1795,26,1
813,405,182,0
814,1031,22,0
815,290,201,0
816,1046,106,0
817,998,15,0
818,290,28,1
819,1704,73,0
820,880,207,1
821,1778,3,1
822,167,36,1
823,455,130,0
824,427,28,0
825,143,6,1
826,1423,173,0
827,2116,15,1
828,1043,81,0
829,175,87,1
830,1568,155,0
831,110,28,0
832,754,163,0
833,35,127,0
834,1170,109,0
835,747,126,0
836,200,37,0
837,782,61,0
838,44,17,1
839,775,181,0
840,1778,5,1
841,1104,175,0
842,488,15,1
843,1508,3,1
844,241,14,1
845,1907,6,1
846,700,111,0
847,32,48,1
848,1892,33,0
849,1751,82,0
850,1012,201,0
851,39,63,1
852,100,40,1
853,406,116,0
854,1125,3,1
855,1897,106,0
856,91,0,1
857,313,180,0
858,1812,12,0
859,1530,72,0
860,1720,121,0
861,658,137,0
862,2216,6,1
863,902,5,1
864,1372,3,1
865,2065,161,0
866,2133,96,0
867,1567,129,0
868,322,214,0
869,1970,34,1
870,2146,15,1
871,1510,3,1
872,1170,168,0
873,328,40,1
874,68,41,1
875,1758,214,0
876,2005,90,0
877,1745,5,1
878,965,3,1
879,1000,9,0
880,2246,25,0
881,584,163,0
882,377,28,1
883,539,182,1
884,213,6,1
885,1348,3,1
886,2043,193,0
887,57,176,0
888,1042,167,0
889,1652,91,0
890,1991,14,1
891,1947,105,0
892,1979,33,1
893,1835,6,1
894,830,196,0
895,979,3,1
896,1266,3,1
897,1520,126,0
898,142,33,1
899,2150,150,0
900,857,201,0
901,441,41,1
902,858,188,1
903,883,6,1
904,104,9,1
905,2129,60,0
906,1100,30,0
907,569,9,1
908,745,89,0
909,1950,142,0
910,1882,6,1
911,923,53,0
912,923,186,0
913,1997,15,1
914,68,19,1
915,1165,96,0
916,217,149,1
917,1166,44,0
918,2104,15,1
919,1772,151,0
920,136,27,1
921,533,6,1
922,10,17,1
923,741,46,0
924,84,41,1
925,2133,105,0
926,212,6,1
927,2259,6,1
928,1636,24,0
929,2012,8,1
930,940,50,0
931,481,120,1
932,728,72,1
933,108,6,1
934,1408,3,1
935,45,0,1
936,51,41,1
937,2065,43,0
938,2041,40,0
939,169,103,1
940,1953,6,1
941,1375,214,0
942,539,151,1
943,805,168,0
944,1221,182,0
945,2062,14,1
946,915,33,1
947,1918,211,0
948,393,134,0
949,2093,2,0
950,860,186,0
951,1000,3,1
952,830,211,0
953,403,14,1
954,161,0,1
955,922,162,0
956,804,6,1
957,1052,3,1
958,2184,8,0
959,406,142,0
960,44,183,0
961,1962,15,1
962,923,11,0
963,1573,210,0
964,24,34,1
965,65,33,1
966,2051,14,1
967,2106,14,1
968,620,19,0
969,1631,6,1
970,2127,7,0
971,1946,6,1
972,1307,182,0
973,1904,6,1
974,616,185,0
975,730,77,0
976,1136,200,0
977,909,6,1
978,914,34,1
979,847,205,0
980,1065,3,1
981,814,18,0
982,566,14,1
983,1420,3,1
984,373,201,0
985,256,43,0
986,523,47,0
987,1647,6,1
988,79,42,0
989,2222,166,0
990,1068,3,1
991,92,9,1
992,1877,6,1
993,1327,72,0
994,873,198,0
995,2041,132,0
996,1055,40,0
997,2172,6,1
998,24,15,1
999,1720,120,0
1000,2130,210,0
1001,35,15,1
1002,1512,77,0
1003,888,68,0
1004,2060,186,0
1005,1542,52,0
1006,1401,77,0
1007,2188,6,1
1008,2060,33,1
1009,896,34,1
1010,309,15,1
1011,1038,29,0
1012,1356,116,0
1013,1772,3,1
1014,211,83,0
1015,109,103,1
1016,1651,89,0
1017,1606,89,0
1018,383,121,0
1019,953,98,0
1020,793,26,1
1021,1534,126,0
1022,1876,6,1
1023,1610,6,1
1024,637,27,1
1025,704,208,0
1026,10,5,1
1027,2160,6,1
1028,46,78,1
1029,2057,72,0
1030,430,0,1
1031,1370,88,0
1032,629,148,0
1033,1633,6,1
1034,1242,102,0
1035,786,133,0
1036,151,143,1
1037,2169,6,1
1038,603,121,0
1039,488,34,1
1040,2175,38,0
1041,1733,3,1
1042,114,15,1
1043,1484,6,1
1044,38,90,0
1045,836,1,1
1046,1405,3,1
1047,144,10,1
1048,757,53,0
1049,365,171,1
1050,127,14,1
1051,93,16,1
1052,427,6,1
1053,737,126,0
1054,532,32,1
1055,1323,7,0
1056,522,20,1
1057,1043,3,1
1058,964,105,0
1059,1764,3,1
1060,588,15,1
1061,539,6,1
1062,397,41,0
1063,132,105,0
1064,819,92,0
1065,63,41,1
1066,1588,196,0
1067,807,5,1
1068,1156,73,0
1069,1554,27,0
1070,569,0,1
1071,728,1,1
1072,510,11,1
1073,1448,100,0
1074,1101,76,0
1075,631,22,0
1076,351,6,1
1077,2239,25,0
1078,1813,6,1
1079,1969,9,0
1080,321,17,1
1081,114,38,1
1082,416,108,0
1083,539,145,1
1084,819,6,1
1085,103,104,0
1086,531,6,1
1087,2161,44,0
1088,49,140,0
1089,948,5,1
1090,1865,6,1
1091,1161,116,0
1092,643,16,1
1093,996,3,1
1094,622,57,0
1095,280,145,1
1096,334,56,1
1097,727,6,1
1098,426,66,1
1099,1747,3,1
1100,725,82,1
1101,665,132,1
1102,582,33,1
1103,855,18,0
1104,35,14,1
1105,1432,12,0
1106,687,6,1
1107,2053,113,0
1108,246,130,1
1109,716,6,1
1110,1689,20,1
1111,1811,141,0
1112,133,29,1
1113,2033,138,0
1114,1483,6,1
1115,1449,26,0
1116,1896,6,1
1117,666,7,1
1118,393,79,1
1119,121,154,0
1120,57,11,1
1121,477,10,0
1122,1805,20,0
1123,1910,2,0
1124,393,80,1
1125,268,20,0
1126,879,195,0
1127,1666,200,0
1128,451,5,1
1129,768,6,1
1130,831,70,1
1131,1696,35,0
1132,630,5,1
1133,1680,14,1
1134,738,156,1
1135,2222,214,0
1136,38,99,0
1137,1580,190,0
1138,577,5,1
1139,154,6,1
1140,1341,3,1
1141,802,190,0
1142,391,192,0
1143,673,6,1
1144,2195,76,0
1145,660,129,1
1146,1007,152,0
1147,1118,3,1
1148,571,6,1
1149,745,115,0
1150,1427,171,0
1151,1164,3,1
1152,341,107,0
1153,1205,95,0
1154,1665,70,1
1155,662,34,1
1156,1234,195,0
1157,602,71,0
1158,1389,3,1
1159,2164,6,1
1160,78,94,0
1161,254,4,0
1162,1310,137,0
1163,1980,116,0
1164,1797,14,1
1165,260,6,1
1166,348,2,1
1167,675,87,0
1168,520,3,1
1169,565,184,1
1170,1782,5,1
1171,2063,34,1
1172,1064,3,1
1173,147,6,1
1174,16,6,1
1175,485,118,0
1176,40,54,1
1177,893,14,1
1178,1674,55,0
1179,1339,150,0
1180,1938,215,0
1181,222,16,0
1182,1967,132,0
1183,2023,89,1
1184,403,29,0
1185,2031,171,0
1186,2159,144,0
1187,422,201,0
1188,2099,148,0
1189,1842,61,1
1190,686,41,1
1191,1061,135,0
1192,1392,43,0
1193,595,185,1
1194,2127,89,0
1195,110,11,1
1196,1743,3,1
1197,32,31,1
1198,2144,99,0
1199,33,54,1
1200,347,213,0
1201,1425,148,0
1202,2083,15,1
1203,2122,15,1
1204,1786,155,0
1205,752,164,0
1206,371,32,0
1207,1583,82,0
1208,152,61,0
1209,901,34,1
1210,471,26,1
1211,399,14,1
1212,2209,33,0
1213,400,81,0
1214,1184,13,0
1215,1460,62,0
1216,131,170,0
1217,247,68,0
1218,1023,15,0
1219,1949,45,0
1220,402,20,0
1221,2147,63,0
1222,1911,6,1
1223,1939,6,1
1224,1825,33,0
1225,1784,134,0
1226,25,14,1
1227,2093,40,1
1228,1198,145,0
1229,1215,66,0
1230,618,132,1
1231,1315,107,0
1232,1868,24,0
1233,1981,34,1
1234,335,38,1
1235,921,0,1
1236,455,61,1
1237,257,8,1
1238,1749,73,0
1239,1795,0,1
1240,594,5,1
1241,459,6,1
1242,260,80,1
1243,589,5,1
1244,65,7,0
1245,777,6,1
1246,1056,12,0
1247,520,197,0
1248,687,89,0
1249,1202,64,0
1250,1777,111,0
1251,1590,15,1
1252,1018,105,0
1253,1106,200,0
1254,1391,3,1
1255,1011,3,1
1256,2038,5,0
1257,1448,72,0
1258,127,9,1
1259,1128,115,0
1260,366,6,1
1261,2218,6,1
1262,1298,194,0
1263,267,5,1
1264,2100,15,1
1265,734,161,0
1266,391,99,0
1267,2199,163,0
1268,1425,75,0
1269,1573,155,0
1270,334,5,1
1271,548,167,0
1272,399,215,0
1273,1045,140,0
1274,144,13,1
1275,1433,11,0
1276,2166,131,0
1277,1091,8,0
1278,1939,161,0
1279,1976,147,0
1280,428,69,1
1281,1036,3,1
1282,109,41,1
1283,553,34,1
1284,90,42,1
1285,1330,159,0
1286,65,140,0
1287,244,35,1
1288,472,0,0
1289,1750,3,1
1290,964,5,0
1291,89,0,1
1292,967,40,0
1293,441,14,1
1294,42,41,1
1295,2130,34,1
1296,888,66,0
1297,38,31,1
1298,1068,120,0
1299,73,187,0
1300,596,66,1
1301,569,78,0
1302,180,15,1
1303,937,197,0
1304,1736,3,1
1305,65,34,1
1306,2261,6,1
1307,577,104,0
1308,1900,118,0
1309,169,89,1
1310,785,70,1
1311,305,104,0
1312,959,42,0
1313,306,160,1
1314,792,198,0
1315,169,113,1
1316,1889,213,0
1317,199,71,0
1318,488,14,1
1319,1982,116,0
1320,2243,10,0
1321,104,15,1
1322,686,89,0
1323,69,213,0
1324,2096,34,1
1325,1922,69,0
1326,232,20,0
1327,1890,142,0
1328,1345,3,1
1329,611,3,0
1330,1152,3,1
1331,2176,188,0
1332,1280,3,1
1333,1745,72,0
1334,68,8,1
1335,2127,136,0
1336,1331,172,0
1337,377,61,1
1338,1475,185,1
1339,1115,3,1
1340,1675,215,0
1341,526,213,0
1342,357,178,0
1343,1274,134,0
1344,2194,6,1
1345,142,35,1
1346,431,172,0
1347,1761,5,1
1348,171,55,0
1349,814,162,0
1350,509,58,0
1351,855,64,1
1352,1560,66,0
1353,374,49,0
1354,417,5,1
1355,968,3,1
1356,361,166,1
1357,551,14,1
1358,1679,48,0
1359,224,34,1
1360,1990,60,0
1361,1991,134,0
1362,1167,196,0
1363,12,6,1
1364,768,15,1
1365,1400,3,1
1366,1554,3,1
1367,1253,164,0
1368,959,3,1
1369,1191,3,1
1370,356,0,1
1371,551,137,0
1372,1488,49,0
1373,1104,20,0
1374,1050,3,1
1375,1446,88,0
1376,790,172,1
1377,1461,5,1
1378,755,15,1
1379,441,37,1
1380,845,1,1
1381,1498,202,0
1382,116,127,0
1383,1289,130,0
1384,944,3,1
1385,721,184,1
1386,1826,157,0
1387,510,6,1
1388,1783,3,1
1389,1979,78,0
1390,858,24,0
1391,644,161,0
1392,448,4,1
1393,1376,3,1
1394,2188,109,0
1395,278,46,0
1396,1897,101,0
1397,121,6,1
1398,397,67,0
1399,1159,3,1
1400,128,206,0
1401,1311,176,0
1402,1025,40,0
1403,86,70,1
1404,37,17,1
1405,684,190,0
1406,1170,3,1
1407,2089,15,1
1408,1604,171,0
1409,1751,24,0
1410,823,15,1
1411,2221,37,0
1412,449,7,0
1413,1049,205,0
1414,27,10,0
1415,1446,166,0
1416,1749,49,0
1417,1741,215,0
1418,2142,68,0
1419,322,5,1
1420,132,90,0
1421,701,58,0
1422,1309,3,1
1423,914,81,0
1424,1423,3,1
1425,566,11,1
1426,1373,3,1
1427,1291,3,1
1428,1687,202,0
1429,792,200,1
1430,108,7,1
1431,1766,3,1
1432,1254,49,0
1433,1856,6,1
1434,1595,79,0
1435,149,15,1
1436,1833,175,0
1437,1373,16,0
1438,884,64,0
1439,1014,3,1
1440,1393,6,0
1441,849,49,0
1442,380,6,1
1443,97,11,1
1444,1735,3,1
1445,2252,35,1
1446,1649,90,0
1447,314,5,1
1448,1613,40,0
1449,566,0,1
1450,506,26,1
1451,451,15,1
1452,2100,47,0
1453,789,35,0
1454,699,0,1
1455,57,40,1
1456,1084,3,1
1457,1812,6,1
1458,1210,3,1
1459,615,20,1
1460,623,20,1
1461,451,16,1
1462,67,75,1
1463,738,63,0
1464,719,25,1
1465,568,17,1
1466,45,8,1
1467,94,14,1
1468,591,5,1
1469,448,8,1
1470,979,36,0
1471,408,89,1
1472,1944,6,1
1473,997,3,1
1474,661,26,1
1475,241,59,0
1476,1002,45,0
1477,1727,4,0
1478,1852,6,1
1479,770,0,1
1480,860,6,1
1481,37,6,1
1482,1671,66,0
1483,1528,3,1
1484,2003,133,0
1485,870,3,1
1486,929,111,0
1487,478,42,1
1488,1460,29,1
1489,156,55,1
1490,2183,15,1
1491,429,142,0
1492,1629,132,0
1493,165,41,0
1494,641,174,0
1495,758,95,0
1496,522,26,1
1497,530,86,1
1498,2260,193,0
1499,109,35,1
1500,2081,48,0
1501,325,6,1
1502,395,20,0
1503,1122,168,0
1504,68,35,1
1505,1179,3,1
1506,614,6,1
1507,2069,15,1
1508,1527,35,0
1509,661,28,0
1510,636,9,0
1511,1073,130,0
1512,1818,6,1
1513,42,8,1
1514,18,27,1
1515,91,16,1
1516,115,97,1
1517,400,35,1
1518,1174,3,1
1519,94,36,1
1520,42,83,1
1521,551,93,1
1522,553,63,0
1523,2019,33,1
1524,1562,7,0
1525,1134,3,1
1526,1280,170,0
1527,263,45,0
1528,1565,177,0
1529,1294,3,1
1530,525,36,0
1531,613,155,0
1532,990,152,0
1533,90,0,1
1534,521,115,0
1535,204,107,0
1536,1038,3,1
1537,263,41,1
1538,1742,115,0
1539,1826,16,0
1540,87,50,1
1541,1711,43,0
1542,1036,163,0
1543,120,17,1
1544,1575,180,0
1545,1824,143,0
1546,807,176,0
1547,905,34,1
1548,772,34,1
1549,125,6,1
1550,530,168,1
1551,726,77,0
1552,223,14,1
1553,169,42,1
1554,219,138,0
1555,1813,148,0
1556,334,137,0
1557,135,46,0
1558,700,129,0
1559,1202,23,0
1560,394,6,1
1561,2085,14,1
1562,1746,40,0
1563,1711,57,0
1564,67,74,1
1565,1305,3,1
1566,674,146,0
1567,275,144,1
1568,2160,123,0
1569,16,25,1
1570,1912,105,0
1571,469,6,1
1572,583,37,0
1573,1377,3,1
1574,1872,114,0
1575,2117,34,1
1576,568,0,1
1577,621,200,0
1578,354,5,1
1579,1437,3,1
1580,1520,138,0
1581,525,3,1
1582,132,5,1
1583,1617,6,1
1584,1205,3,1
1585,1179,208,0
